controller,pattern,status,corpus,http_status,expected_bytes,actual_bytes,expected_sha256,actual_sha256,byte_identical,first_difference_at,reason
CorporationController,/api/v2/corporation/sheet/{id},served,corporation.sheet,200,628,628,1c649d0930609aa1e41d73c227e94631acb4764d4f5226fcdc50f87086d69dee,1c649d0930609aa1e41d73c227e94631acb4764d4f5226fcdc50f87086d69dee,true,-1,
CorporationController,/api/v2/corporation/structures/{id},served,corporation.structures,200,1235,1235,db91a5d37a86f1b54df88cc604248c08a5de22e002bf5ab4e81393b4123aa4e5,db91a5d37a86f1b54df88cc604248c08a5de22e002bf5ab4e81393b4123aa4e5,true,-1,
CharacterController,/api/v2/character/assets/{id},unshimmable,character.assets,501,0,0,,,false,-1,"NOT shimmable, and not for want of a store query (B57 — it carried reasonNoKeysetWindow until Phase 20.10). Legacy's asset tables have `map_id` (bigint) and `map_name` (string) as REAL PERSISTED COLUMNS holding SeAT's own location-resolution denormalisation; app.asset has neither, and HANGAR resolves locations through app.asset_location with a different shape and no stored name. The recording is decisive rather than silent about it: character.assets row two carries map_id 30000142 and map_name ""Jita"", so a constant null would be provably wrong. Recorded as unreproducible in APPENDIX_C_MIGRATION.md §7 since Phase 19 — this route's reason simply did not say so."
CharacterController,/api/v2/character/contracts/{id},unshimmable,character.contracts,501,0,0,,,false,-1,"NOT shimmable, and not for want of a store query (B57 — it carried reasonNoKeysetWindow until Phase 20.10). `contract_details.price` is a MySQL DOUBLE, the same column type as character_wallet_journals.amount, and the corpus carries the same divergence settled in 20.7: the fixture seeds 9007199254740993.01, which parses to the float64 9007199254740994, and the recording says 9007199254741000 — three ulps away. HANGAR's app.contract.price is NUMERIC(30,2) and holds the value it was given, exactly. No formatting rule makes an exact decimal emit a different double, so this is the same unfixable corpus fact, not a second instance of a fixable bug. Everything else about the route IS reproducible — bids, lines, the three entity objects and the nested location objects all have HANGAR sources or recorded constants — which is precisely why the price had to be checked rather than assumed."
CharacterController,/api/v2/character/killmails/{id},unshimmable,killmails.character,501,0,0,,,false,-1,"shimmable in shape, blocked on legacy's `attacker_hash`: a SeAT-internal surrogate app.killmail_attacker has no column for and no ESI response carries (APPENDIX_C_MIGRATION.md §7), so it cannot be derived. The sync half of this blocker was CLOSED in Phase 20.7 (B48) — app.killmail now has a writer — but the surrogate is not recoverable from upstream data at any level of effort."
CharacterController,/api/v2/character/sheet/{id},unshimmable,character.sheet,501,0,0,,,false,-1,"NOT shimmable, blocked on `user_id`: legacy's is a MySQL auto-increment integer and HANGAR's app.character.user_id is a uuid, so no translation produces the integer a legacy client stored — the same identifier-space break that makes UserController unshimmable, appearing inside an otherwise reproducible route. NOTE (20.11 audit): the RECORDING shows `""user_id"": null`, because CharacterInfo::user() is a hasOneThrough over `refresh_tokens` and fixtures.php seeds none — so a constant null would match the corpus and be wrong on every populated installation. The corpus does not pin this field; re-recording with a refresh token would. This route's SECOND blocker is CLOSED as of Phase 20.9 (B56): `skillpoints.total_sp` and `skillpoints.unallocated_sp` were parsed from ESI and discarded on every sync, and app.character_skill_summary now holds both. Closing it removed one blocker of two and changed nothing about this route's status."
CharacterController,/api/v2/character/wallet-transactions/{id},unshimmable,character.wallet-transactions,501,0,0,,,false,-1,"the recorded response leads with SeAT's own MySQL auto-increment key (`id` / `internal_id`), a SeAT-internal surrogate HANGAR has no column for — app.wallet_transaction is keyed on (owner_kind, owner_id, transaction_id, date). Inventing a counter would differ between two installations holding identical data. Same class as `attacker_hash` in APPENDIX_C_MIGRATION.md §7."
CorporationController,/api/v2/corporation/assets/{id},unshimmable,corporation.assets,501,0,0,,,false,-1,"NOT shimmable, and not for want of a store query (B57 — it carried reasonNoKeysetWindow until Phase 20.10). Legacy's asset tables have `map_id` (bigint) and `map_name` (string) as REAL PERSISTED COLUMNS holding SeAT's own location-resolution denormalisation; app.asset has neither, and HANGAR resolves locations through app.asset_location with a different shape and no stored name. The recording is decisive rather than silent about it: character.assets row two carries map_id 30000142 and map_name ""Jita"", so a constant null would be provably wrong. Recorded as unreproducible in APPENDIX_C_MIGRATION.md §7 since Phase 19 — this route's reason simply did not say so."
CorporationController,/api/v2/corporation/contracts/{id},unshimmable,corporation.contracts,501,0,0,,,false,-1,"NOT shimmable, and not for want of a store query (B57 — it carried reasonNoKeysetWindow until Phase 20.10). `contract_details.price` is a MySQL DOUBLE, the same column type as character_wallet_journals.amount, and the corpus carries the same divergence settled in 20.7: the fixture seeds 9007199254740993.01, which parses to the float64 9007199254740994, and the recording says 9007199254741000 — three ulps away. HANGAR's app.contract.price is NUMERIC(30,2) and holds the value it was given, exactly. No formatting rule makes an exact decimal emit a different double, so this is the same unfixable corpus fact, not a second instance of a fixable bug. Everything else about the route IS reproducible — bids, lines, the three entity objects and the nested location objects all have HANGAR sources or recorded constants — which is precisely why the price had to be checked rather than assumed."
CorporationController,/api/v2/corporation/killmails/{id},unshimmable,killmails.corporation,501,0,0,,,false,-1,"shimmable in shape, blocked on legacy's `attacker_hash`: a SeAT-internal surrogate app.killmail_attacker has no column for and no ESI response carries (APPENDIX_C_MIGRATION.md §7), so it cannot be derived. The sync half of this blocker was CLOSED in Phase 20.7 (B48) — app.killmail now has a writer — but the surrogate is not recoverable from upstream data at any level of effort."
CorporationController,/api/v2/corporation/wallet-journal/{id},unshimmable,corporation.wallet-journal,501,0,0,,,false,-1,"the recorded response leads with SeAT's own MySQL auto-increment key (`id` / `internal_id`), a SeAT-internal surrogate HANGAR has no column for — app.wallet_transaction is keyed on (owner_kind, owner_id, transaction_id, date). Inventing a counter would differ between two installations holding identical data. Same class as `attacker_hash` in APPENDIX_C_MIGRATION.md §7."
CorporationController,/api/v2/corporation/wallet-transactions/{id},unshimmable,corporation.wallet-transactions,501,0,0,,,false,-1,"the recorded response leads with SeAT's own MySQL auto-increment key (`id` / `internal_id`), a SeAT-internal surrogate HANGAR has no column for — app.wallet_transaction is keyed on (owner_kind, owner_id, transaction_id, date). Inventing a counter would differ between two installations holding identical data. Same class as `attacker_hash` in APPENDIX_C_MIGRATION.md §7."
KillmailsController,/api/v2/killmails/{id},unshimmable,killmails.detail,501,0,0,,,false,-1,"shimmable in shape, blocked on legacy's `attacker_hash`: a SeAT-internal surrogate app.killmail_attacker has no column for and no ESI response carries (APPENDIX_C_MIGRATION.md §7), so it cannot be derived. The sync half of this blocker was CLOSED in Phase 20.7 (B48) — app.killmail now has a writer — but the surrogate is not recoverable from upstream data at any level of effort."
SquadController,/api/v2/squads,unshimmable,squads.index,501,0,0,,,false,-1,"HANGAR's user and squad ids are uuids where legacy's were MySQL auto-increment integers. `""id"":1` and `""id"":""019ff31f-…""` are different identifier spaces; no translation invents the integer a legacy client stored. SquadResource.logo compounds it: it always returned a rendered PNG data-URL, generating a placeholder avatar when none was stored, and no translation layer reproduces a raster image."
SquadController,/api/v2/squads/{id},unshimmable,squads.show,501,0,0,,,false,-1,"HANGAR's user and squad ids are uuids where legacy's were MySQL auto-increment integers. `""id"":1` and `""id"":""019ff31f-…""` are different identifier spaces; no translation invents the integer a legacy client stored."
UserController,/api/v2/users,unshimmable,users.index,501,0,0,,,false,-1,"HANGAR's user and squad ids are uuids where legacy's were MySQL auto-increment integers. `""id"":1` and `""id"":""019ff31f-…""` are different identifier spaces; no translation invents the integer a legacy client stored."
UserController,/api/v2/users/{id},unshimmable,users.show,501,0,0,,,false,-1,"HANGAR's user and squad ids are uuids where legacy's were MySQL auto-increment integers. `""id"":1` and `""id"":""019ff31f-…""` are different identifier spaces; no translation invents the integer a legacy client stored."
