capability_id,capability_name,upstream_esi_routes,legacy_controllers,alert_types,hangar_endpoints,delivering_phase,verification_test,status,note
14,"Wallet (balance, journal, transactions)",/characters/{character_id}/wallet /characters/{character_id}/wallet/journal /characters/{character_id}/wallet/transactions,CharacterController,,/api/v1/characters/{id}/wallet/journal /api/v1/characters/{id}/wallet/transactions,8,TestKeysetPagesAreTotallyOrdered,verified,
15,"Sheet aggregate (corporation history, medals, standings, titles, roles, loyalty points, agents research)",/characters/{character_id} /characters/{character_id}/corporationhistory /characters/{character_id}/medals /characters/{character_id}/standings /characters/{character_id}/titles /characters/{character_id}/roles /characters/{character_id}/loyalty/points /characters/{character_id}/agents_research,CharacterController,,/api/v1/characters/{id},6,TestSyncCharacterSheet,verified,
16,"Location, Online & Ship",/characters/{character_id}/location /characters/{character_id}/online /characters/{character_id}/ship,,,/api/v1/characters/{id},7,TestSyncCharacterLocation,verified,
17,Intel (interaction graph),,,,/api/v1/characters/{id}/intel,16,TestIntelGraph,verified,
18,"Assets (+ resolution, tree)",/corporations/{corporation_id}/assets,CorporationController,,/api/v1/corporations/{id}/assets,20.6,TestSyncCorporationAssets,verified,
19,Blueprints,/corporations/{corporation_id}/blueprints,CorporationController,,/api/v1/corporations/{id}/blueprints,8,TestSyncBlueprints,verified,
20,Contacts & Labels,/corporations/{corporation_id}/contacts /corporations/{corporation_id}/contacts/labels,CorporationController,,/api/v1/corporations/{id}/contacts,8,TestSyncCorporationContacts,verified,
21,"Contracts (headers, items, bids)",/corporations/{corporation_id}/contracts /corporations/{corporation_id}/contracts/{contract_id}/items /corporations/{corporation_id}/contracts/{contract_id}/bids,CorporationController,,/api/v1/corporations/{id}/contracts,9,TestSyncContracts,verified,
22,Divisions & Facilities,/corporations/{corporation_id}/divisions /corporations/{corporation_id}/facilities,,,/api/v1/corporations/{id}/divisions,8,TestSyncCorporationDivisions,verified,
23,Industry Jobs,/corporations/{corporation_id}/industry/jobs,CorporationController,,/api/v1/corporations/{id}/industry,8,TestSyncIndustryJobs,verified,
24,"Members, Tracking, Limits & Member Titles",/corporations/{corporation_id}/members /corporations/{corporation_id}/membertracking /corporations/{corporation_id}/members/limit /corporations/{corporation_id}/members/titles,CorporationController,,/api/v1/corporations/{id}/members,8,TestSyncCorporationMembers,verified,
25,"Projects (list, detail, contributors, per-character contribution)",/corporations/{corporation_id}/projects /corporations/{corporation_id}/projects/{project_id} /corporations/{corporation_id}/projects/{project_id}/contributors /corporations/{corporation_id}/projects/{project_id}/contribution/{character_id},,,/api/v1/corporations/{id}/projects,9,TestSyncCorporationProjects,verified,
26,"Roles, Titles & Role History",/corporations/{corporation_id}/roles /corporations/{corporation_id}/roles/history /corporations/{corporation_id}/titles,,,/api/v1/corporations/{id}/roles,8,TestSyncCorporationRoles,verified,
27,Starbases (+ starbase detail),/corporations/{corporation_id}/starbases /corporations/{corporation_id}/starbases/{starbase_id},,,/api/v1/corporations/{id}/starbases,8.1,TestSyncCorporationStarbases,verified,
28,"Structures, Skyhooks & Sovereignty Hubs",/corporations/{corporation_id}/structures /corporations/{corporation_id}/structures/skyhooks /corporations/{corporation_id}/structures/skyhooks/{skyhook_id} /corporations/{corporation_id}/structures/sovereignty-hubs /corporations/{corporation_id}/structures/sovereignty-hubs/{sovereignty_hub_id},CorporationController,,/api/v1/corporations/{id}/structures,8.1,TestSyncCorporationStructures,verified,
29,"Wallets & Ledgers (bounties, PI, mining)",/corporations/{corporation_id}/wallets /corporations/{corporation_id}/wallets/{division}/journal /corporations/{corporation_id}/wallets/{division}/transactions,CorporationController,,/api/v1/corporations/{id}/wallets/{division}/journal /api/v1/corporations/{id}/ledger/bounties /api/v1/corporations/{id}/ledger/pi,15.1,TestKeysetPagesAreTotallyOrdered,verified,
30,Moon Extractions & Observers,/corporation/{corporation_id}/mining/extractions /corporation/{corporation_id}/mining/observers /corporation/{corporation_id}/mining/observers/{observer_id},,,/api/v1/corporations/{id}/mining,8,TestSyncMiningObservers,verified,
31,Customs Offices & Container Logs,/corporations/{corporation_id}/customs_offices /corporations/{corporation_id}/containers/logs,,,/api/v1/corporations/{id}/customs-offices,8,TestSyncCorporationCustomsOffices,verified,
32,Medals & Issued Medals,/corporations/{corporation_id}/medals /corporations/{corporation_id}/medals/issued,,,/api/v1/corporations/{id}/medals,8,TestSyncCorporationMedals,verified,
33,"Shareholders, Standings & Alliance History",/corporations/{corporation_id}/shareholders /corporations/{corporation_id}/standings /corporations/{corporation_id}/alliancehistory /corporations/{corporation_id},CorporationController,,/api/v1/corporations/{id},8,TestSyncCorporationSheet,verified,
34,Character Orders & History,/characters/{character_id}/orders /characters/{character_id}/orders/history,CharacterController,,/api/v1/characters/{id}/orders,9,TestSyncMarketOrders,verified,
35,Corporation Orders & History,/corporations/{corporation_id}/orders /corporations/{corporation_id}/orders/history,CorporationController,,/api/v1/corporations/{id}/orders,9,TestSyncMarketOrders,verified,
36,"Global Market (regional orders, history, types, prices)",/markets/prices /markets/{region_id}/history /markets/{region_id}/orders /markets/{region_id}/types,,,/api/v1/markets/prices,9,TestSyncMarketPrices,verified,
37,"Alliance Information, Members & Contacts",/alliances /alliances/{alliance_id} /alliances/{alliance_id}/contacts /alliances/{alliance_id}/contacts/labels /alliances/{alliance_id}/corporations,AllianceController,,/api/v1/alliances/{id},20.8,TestSyncAlliance,verified,
38,"Sovereignty (Campaigns, Systems, Hubs)",/sovereignty/campaigns /sovereignty/systems,,,/api/v1/sovereignty/campaigns,9,TestSyncSovereignty,verified,
39,"Killmails (character, corporation, detail)",/characters/{character_id}/killmails/recent /corporations/{corporation_id}/killmails/recent /killmails/{killmail_id}/{killmail_hash},KillmailsController,,/api/v1/characters/{id}/killmails /api/v1/corporations/{id}/killmails,9,TestSyncKillmails,verified,
40,Character-scoped Search with anti-discovery controls,/characters/{character_id}/search,,,/api/v1/support/search,15,TestSearchNeverProxiesESI,verified,
41,"ID & Name Resolution (+ affiliations, structures, stations)",/universe/structures/{structure_id} /universe/stations/{station_id},,,/api/v1/support/resolve /api/v1/support/universe/structures /api/v1/support/universe/stations,20.8,TestSyncLocationResolution,verified,
42,Insurance Prices,/insurance/prices,,,/api/v1/tools/insurance,15,TestSyncInsurancePrices,verified,
43,Character Notes,,,,/api/v1/tools/character/{id}/notes,15,TestCharacterNotes,verified,
44,Standings Tool & Moon Report Parser,,,,/api/v1/tools/moon-report,15,TestMoonReportParser,verified,
45,ESI Service Health (`/meta/status`),/meta/status,,,/api/v1/meta/esi-status,15.1,TestSyncEsiStatus,verified,
46,Tranquility Server Status (`/status`),/status,,,/api/v1/meta/server-status,15.1,TestSyncServerStatus,verified,
47,"Third-Party API Tokens (scoping, revocation, access log)",,UserController,,/api/v1/api-tokens,18,TestApiTokenScopeCap,verified,
48,"ESI SSO Scope Administration (opaque, dual-grammar)",,,,/api/v1/admin/scopes,18,TestScopeAdministration,verified,
49,"Compatibility-Pin Administration (blocked-route board, pin advance)",,,,/api/v1/admin/esi/catalogue/pin,17,TestCompatibilityPinAdvance,verified,
50,User Administration,,UserController RoleLookupController,,/api/v1/admin/users,18,TestUserAdministration,verified,
51,Security & Audit Log,,,,/api/v1/admin/security-log,18,TestAuditLog,verified,
52,"Sync, Health & Route Catalogue",,RoleController,,/api/v1/admin/sync /api/v1/admin/sync/routes,20.1,TestAdminSyncBoard,verified,
53,Squad CRUD,,SquadController,,/api/v1/squads,16,TestSquadCRUD,verified,
54,Members & Moderators,,SquadController,,/api/v1/squads/{id}/members,16,TestSquadMembers,verified,
55,Squad Roles & Applications,,SquadController,,/api/v1/squads/{id}/roles,16,TestSquadRoles,verified,
56,"Access Provisioning Drivers (Discord, TeamSpeak, Mumble) + Webhook Channels (Discord, Slack, SMTP)",,,,/api/v1/me/webhooks /api/v1/admin/platforms,20.5,TestWebhookRotationOverlap,verified,
57,"54-Type Alert Catalogue across 8 domains, including Wars (6) and Skyhooks (5)",,,"54 seeded (41 esi_notification, 9 domain_event, 4 threshold), 8 domains",/api/v1/admin/alerts,20.4,TestAlertCatalogueComplete,verified,
58,9-Locale Internationalization with ESI language resolution,,,,,3,TestLocaleResolutionExhaustive,verified,
